tpep_pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,h3_index,pickup_date
2016-01-04 01:01:01,2,-73.78984832763672,40.6437873840332,882a103b03fffff,2016-01-04
2016-01-04 01:01:02,1,-73.98729705810547,40.76613235473633,882a100d65fffff,2016-01-04
2016-01-04 01:01:02,1,-73.78102111816406,40.64501953125,882a103b1dfffff,2016-01-04
2016-01-04 01:01:06,1,-73.98529052734375,40.768531799316406,882a1008b3fffff,2016-01-04
2016-01-04 01:01:06,1,-73.99317932128906,40.68271255493164,882a10729bfffff,2016-01-04
2016-01-04 01:01:07,5,-73.7774887084961,40.64667510986328,882a103b1dfffff,2016-01-04
2016-01-04 01:01:07,2,-73.95681762695312,40.76677322387695,882a100d45fffff,2016-01-04
2016-01-04 01:01:09,1,-73.97659301757811,40.76578140258789,882a100d6dfffff,2016-01-04
2016-01-04 01:01:09,1,-73.9889144897461,40.72676467895508,882a1072c9fffff,2016-01-04
2016-01-04 01:01:10,2,-73.79006195068358,40.64665603637695,882a103b03fffff,2016-01-04
2016-01-04 01:01:11,1,-73.98131561279298,40.773902893066406,882a1008bbfffff,2016-01-04
2016-01-04 01:01:11,2,-74.0017318725586,40.73234939575195,882a1072cdfffff,2016-01-04
2016-01-04 01:01:12,1,-73.94002532958984,40.70762634277344,882a100dc5fffff,2016-01-04
2016-01-04 01:01:13,1,-73.79288482666014,40.71085739135742,882a100e8bfffff,2016-01-04
2016-01-04 01:01:14,1,-73.97431182861328,40.75653076171875,882a100d63fffff,2016-01-04
2016-01-04 01:01:15,1,-73.93702697753906,40.68777084350586,882a100d81fffff,2016-01-04
2016-01-04 01:01:15,2,-73.9777603149414,40.78900909423828,882a100883fffff,2016-01-04
2016-01-04 01:01:17,1,-73.94161224365233,40.838623046875,882a100aa9fffff,2016-01-04
2016-01-04 01:01:18,1,-73.98068237304686,40.75910949707031,882a100d67fffff,2016-01-04
2016-01-04 01:01:18,2,-73.97154235839844,40.763092041015625,882a100d61fffff,2016-01-04
2016-01-04 01:01:20,1,-74.001220703125,40.73675155639648,882a100d27fffff,2016-01-04
2016-01-04 01:01:22,1,-73.98843383789062,40.723182678222656,882a1072cbfffff,2016-01-04
2016-01-04 01:01:22,1,-73.99401092529298,40.73640060424805,882a100d27fffff,2016-01-04
2016-01-04 01:01:25,1,-73.98822784423827,40.74589157104492,882a100d21fffff,2016-01-04
2016-01-04 01:01:26,1,-73.98408508300781,40.76482772827149,882a100d65fffff,2016-01-04
2016-01-04 01:01:26,1,-73.95565795898438,40.77964019775391,882a100891fffff,2016-01-04
2016-01-04 01:01:26,1,-73.98797607421875,40.728271484375,882a1072c9fffff,2016-01-04
2016-01-04 01:01:28,1,-74.00338745117188,40.73274612426758,882a1072cdfffff,2016-01-04
2016-01-04 01:01:28,1,-73.9884262084961,40.72011947631836,882a1072cbfffff,2016-01-04
2016-01-04 01:01:28,1,-73.78961181640625,40.64335632324219,882a103b03fffff,2016-01-04
2016-01-04 01:01:29,1,-73.97710418701173,40.78491973876953,882a1008b9fffff,2016-01-04
2016-01-04 01:01:29,3,-73.95570373535155,40.77227020263672,882a100893fffff,2016-01-04
2016-01-04 01:01:32,3,-73.98056793212889,40.66018295288086,882a107743fffff,2016-01-04
2016-01-04 01:01:33,1,-73.99149322509764,40.72365188598633,882a1072cbfffff,2016-01-04
2016-01-04 01:01:35,2,-73.87442016601561,40.77400588989258,882a100f57fffff,2016-01-04
2016-01-04 01:01:36,1,-73.97911834716798,40.77711868286133,882a1008bbfffff,2016-01-04
2016-01-04 01:01:36,1,-73.95784759521484,40.71772384643555,882a100dedfffff,2016-01-04
2016-01-04 01:01:38,1,-73.96060943603516,40.761348724365234,882a100d6bfffff,2016-01-04
2016-01-04 01:01:39,2,-74.00572204589844,40.75069046020508,882a107253fffff,2016-01-04
2016-01-04 01:01:39,1,-73.7825469970703,40.646881103515625,882a103b03fffff,2016-01-04
2016-01-04 01:01:39,2,-74.00885009765625,40.71614456176758,882a1072c7fffff,2016-01-04
2016-01-04 01:01:40,5,-73.97145080566406,40.76279067993164,882a100d61fffff,2016-01-04
2016-01-04 01:01:40,1,-73.97812652587889,40.75228118896485,882a100d67fffff,2016-01-04
